Branch_ID,Branch_Name,Region,Month,Orders,Revenue,Avg_Rating,Customer_Count,Repeat_Customers,New_Customers,Complaints,Delivery_Time_Min,Performance_Level,Branch_Status,Reason
K_01,Koramangala,South,2024-01,14788,6122232,4.6,11733,8447,3286,42,22,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_02,Koramangala,South,2024-02,14919,5505111,4.7,11248,7761,3487,56,22,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_03,Koramangala,South,2024-03,13215,4770615,4.8,9529,6575,2954,67,21,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_04,Koramangala,South,2024-04,14904,5946696,4.6,11604,8238,3366,76,25,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_05,Koramangala,South,2024-05,12189,4912167,4.5,9686,7167,2519,85,,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_06,Koramangala,South,2024-06,12646,5045754,4.6,10244,7273,2971,73,19,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_07,Koramangala,South,2024-07,14041,5602359,7.2,10383,7371,3012,87,19,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_08,Koramangala,South,2024-08,14556,5458500,4.7,10904,7414,3490,69,23,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_09,Koramangala,South,2024-09,13021,5234442,4.7,11129,8124,3005,76,21,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_10,Koramangala,South,2024-10,15615,6043005,4.8,12058,8922,3136,70,23,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_11,Koramangala,South,2024-11,15266,5984272,,12424,9318,3106,74,22,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_12,Koramangala,South,2024-12,16403,5806662,4.6,12243,8814,3429,79,18,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_13,Koramangala,South,2025-01,16753,6734706,4.7,14247,10685,3562,,25,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_14,Koramangala,South,2025-02,14640,5036160,4.7,12710,8897,3813,69,18,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_15,Koramangala,South,2025-03,14088,,4.8,10358,7354,3004,43,25,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_16,Koramangala,South,2025-04,12502,4788266,4.6,10276,7193,3083,58,22,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_17,Koramangala,South,2025-05,13570,4640940,-1,11422,8338,3084,71,24,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_18,Koramangala,South,2025-06,12502,5225836,4.7,9856,6702,3154,73,20,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_19,Koramangala,South,2025-07,14939,5841149,4.5,12102,8229,3873,66,24,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_20,Koramangal,South,2025-08,13923,4928742,4.8,11707,8429,3278,57,24,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_21,Koramangala,South,2025-09,13059,,4.8,11345,7941,3404,41,-5,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_22,Koramangala,South,2025-10,16794,6163398,4.6,12678,9001,3677,87,23,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_23,Koramangala,South,2025-11,15367,6162167,4.8,11334,7820,3514,45,25,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_24,Koramangala,South,2025-12,15409,5269878,-2,11111,7555,3556,86,22,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
J_01,Jayanagar,South,2024-01,15500,5936500,4.7,11765,8235,3530,71,,High,Healthy,Large seating capacity and fast service
J_02,Jayanagar,South,2024-02,13631,5411507,4.7,11913,8696,3217,86,18,High,Healthy,Large seating capacity and fast service
J_03,Jayanagar,South,2024-03,13636,4649876,4.6,10914,7421,3493,51,20,High,Healthy,Large seating capacity and fast service
J_04,Jayanagar,South,2024-04,13589,4864862,,11264,7659,3605,66,18,High,Healthy,Large seating capacity and fast service
J_05,Jayanagar,South,2024-05,13076,5321932,4.6,9583,7187,2396,,23,High,Healthy,Large seating capacity and fast service
J_06,Jaynagar,South,2024-06,12122,4957898,4.6,9501,6840,2661,72,25,High,Healthy,Large seating capacity and fast service
J_07,Jayanagar,South,2024-07,14799,6052791,4.7,12302,8611,3691,43,21,High,Healthy,Large seating capacity and fast service
J_08,Jayanagar,South,2024-08,13794,5600364,4.7,11718,8085,3633,,20,High,Healthy,Large seating capacity and fast service
J_09,Jayanagar,South,2024-09,14911,5636358,4.5,12970,9727,3243,75,18,High,Healthy,Large seating capacity and fast service
J_10,Jayanagar,South,2024-10,14535,5377950,4.7,12505,9253,3252,59,19,High,Healthy,Large seating capacity and fast service
J_11,Jayanagar,South,2024-11,15679,6255921,4.6,11943,8957,2986,50,,High,Healthy,Large seating capacity and fast service
J_12,Jayanagar,South,2024-12,17185,6375635,4.5,14113,10161,3952,46,22,High,Healthy,Large seating capacity and fast service
J_13,Jayanagar,South,2025-01,16164,5528088,4.6,13852,10389,3463,53,25,High,Healthy,Large seating capacity and fast service
J_14,Jayanagar,South,2025-02,14101,5795511,4.7,11924,8346,3578,58,21,High,Healthy,Large seating capacity and fast service
J_15,Jayanagar,South,2025-03,12103,4405492,4.7,8723,6367,2356,69,25,High,Healthy,Large seating capacity and fast service
J_16,Jayanagar,South,2025-04,13919,5832061,4.6,12236,8565,3671,36,23,High,Healthy,Large seating capacity and fast service
J_17,Jayanagar,South,2025-05,12160,4365440,4.5,9468,7101,2367,48,-200,High,Healthy,Large seating capacity and fast service
J_18,Jayanagar,South,2025-06,13415,5191605,4.8,9859,6704,3155,51,25,High,Healthy,Large seating capacity and fast service
J_19,Jayanagar,South,2025-07,12469,4862910,4.6,10757,7852,2905,80,23,High,Healthy,Large seating capacity and fast service
J_20,Jayanagar,South,2025-08,14074,5671822,4.7,12079,8576,3503,64,18,High,Healthy,Large seating capacity and fast service
J_21,Jayanagar,South,2025-09,12815,4562140,4.6,11266,7660,3606,69,25,High,Healthy,Large seating capacity and fast service
J_22,Jayanagar,South,2025-10,16335,6141960,4.8,14187,9930,4257,87,23,High,Healthy,Large seating capacity and fast service
J_23,Jayanagar,South,2025-11,16725,6723450,4.7,12860,9130,3730,65,20,High,Healthy,Large seating capacity and fast service
J_24,Jayanagar,South,2025-12,17221,6268444,4.8,13486,9305,4181,37,25,High,Healthy,Large seating capacity and fast service
I_01,Indiranagar,East,2024-01,16804,6234284,4.7,13903,10427,3476,74,23,High,Healthy,Prime location with strong dine-in demand
I_02,Indiranagar,East,2024-02,13686,15000000,4.5,11712,8081,3631,61,19,High,Healthy,Prime location with strong dine-in demand
I_03,Indiranagar,East,2024-03,12245,4469425,4.6,10403,7698,2705,63,19,High,Healthy,Prime location with strong dine-in demand
I_04,Indiranagar,East,2024-04,12920,4961280,4.7,9704,6889,2815,41,18,High,Healthy,Prime location with strong dine-in demand
I_05,Indiranagar,East,2024-05,14559,5153886,4.6,11357,7949,3408,48,21,High,Healthy,Prime location with strong dine-in demand
I_06,Indiranagar,East,2024-06,12833,5094701,4.6,10353,7040,3313,56,20,High,Healthy,Prime location with strong dine-in demand
I_07,Indiranagar,East,2024-07,13148,5009388,4.8,11197,7949,3248,56,-300,High,Healthy,Prime location with strong dine-in demand
I_08,Indiranagar,East,2024-08,13077,5126184,4.7,9983,7487,2496,71,18,High,Healthy,Prime location with strong dine-in demand
I_09,Indiranagar,East,2024-09,12004,4633544,4.6,9986,7489,2497,40,22,High,Healthy,Prime location with strong dine-in demand
I_10,Indiranagar,East,2024-10,17230,6357870,4.7,12518,8887,3631,47,19,High,Healthy,Prime location with strong dine-in demand
I_11,Indiranagar,East,2024-11,13936,5588336,4.6,11897,8803,3094,62,19,High,Healthy,Prime location with strong dine-in demand
I_12,Indiranagar,East,2024-12,16020,6199740,4.6,12003,8282,3721,35,24,High,Healthy,Prime location with strong dine-in demand
I_13,Indiranagar,East,2025-01,14830,6050640,4.8,12129,8975,3154,73,25,High,Healthy,Prime location with strong dine-in demand
I_14,Indiranagar,East,2025-02,14294,5660424,4.5,11073,7751,3322,60,25,High,Healthy,Prime location with strong dine-in demand
I_15,Indiranagar,East,2025-03,13243,5310443,4.5,11025,8048,2977,83,23,High,Healthy,Prime location with strong dine-in demand
I_16,Indiranagar,East,2025-04,13227,4999806,4.5,10256,7384,2872,60,25,High,Healthy,Prime location with strong dine-in demand
I_17,Indiranagar,East,2025-05,13757,5131361,4.7,10479,7544,2935,44,23,High,Healthy,Prime location with strong dine-in demand
I_18,Indiranagar,East,2025-06,14809,6042072,4.8,12283,9212,3071,66,18,High,Healthy,Prime location with strong dine-in demand
I_19,Indiranagar,East,2025-07,14839,5505269,4.8,12916,9170,3746,36,18,High,Healthy,Prime location with strong dine-in demand
I_20,Indiranagar,East,2025-08,13687,5091564,4.7,11631,7909,3722,69,21,High,Healthy,Prime location with strong dine-in demand
I_21,Indiranagar,East,2025-09,13636,5631668,4.7,10268,7701,2567,35,18,High,Healthy,Prime location with strong dine-in demand
I_22,Indira Nagar,East,2025-10,14126,5283124,4.5,10931,7542,3389,65,23,High,Healthy,Prime location with strong dine-in demand
I_23,Indiranagar,East,2025-11,13902,15185446,4.6,10589,7306,3283,60,19,High,Healthy,Prime location with strong dine-in demand
I_24,Indiranagar,East,2025-12,14748,5530500,4.7,11604,8354,3250,79,20,High,Healthy,Prime location with strong dine-in demand
R_01,Residency Road,Central,2024-01,17029,6862687,4.7,13830,10372,3458,71,18,High,Healthy,Corporate crowd and high delivery volume
R_02,Residency Road,Central,2024-02,13122,4763286,4.6,11268,8338,2930,52,18,High,Healthy,Corporate crowd and high delivery volume
R_03,Residency Road,Central,2024-03,12036,4441284,4.6,10404,7698,2706,89,22,High,Healthy,Corporate crowd and high delivery volume
R_04,Residency Road,Central,2024-04,14109,5615382,4.6,10384,7476,2908,59,23,High,Healthy,Corporate crowd and high delivery volume
R_05,Residency Road,Central,2024-05,13635,4744980,4.5,10513,7464,3049,75,20,High,Healthy,Corporate crowd and high delivery volume
R_06,Residency Road,Central,2024-06,12717,4514535,4.7,10068,6946,3122,86,20,High,Healthy,Corporate crowd and high delivery volume
R_07,Residency Road,Central,2024-07,12395,4486990,4.6,10473,7540,2933,55,21,High,Healthy,Corporate crowd and high delivery volume
R_08,Residency Road,Central,2024-08,13062,4610886,4.5,10553,7809,2744,76,19,High,Healthy,Corporate crowd and high delivery volume
R_09,Residency Road,Central,2024-09,13156,4696692,4.7,11511,8057,3454,63,20,High,Healthy,Corporate crowd and high delivery volume
R_10,Residency Road,Central,2024-10,14895,5243040,4.7,11254,8215,3039,72,24,High,Healthy,Corporate crowd and high delivery volume
R_11,Residency Road,Central,2024-11,15428,5800928,4.7,11683,8411,3272,36,22,High,Healthy,Corporate crowd and high delivery volume
R_12,Residency Road,Central,2024-12,15546,6373860,4.8,13645,9278,4367,56,21,High,Healthy,Corporate crowd and high delivery volume
R_13,Residency Road,Central,2025-01,15128,5945304,4.6,12598,9070,3528,65,20,High,Healthy,Corporate crowd and high delivery volume
R_14,Residency Road,Central,2025-02,12713,4881792,4.8,9176,6423,2753,73,23,High,Healthy,Corporate crowd and high delivery volume
R_15,Residency Road,Central,2025-03,13243,5297200,4.7,11278,8458,2820,54,21,High,Healthy,Corporate crowd and high delivery volume
R_16,Residency Road,Central,2025-04,13958,5611116,4.7,11116,8114,3002,47,21,High,Healthy,Corporate crowd and high delivery volume
R_17,Residency Road,Central,2025-05,12823,4911209,4.7,11238,7754,3484,87,23,High,Healthy,Corporate crowd and high delivery volume
R_18,Residency Road,Central,2025-06,14220,5887080,4.5,12329,9000,3329,55,25,High,Healthy,Corporate crowd and high delivery volume
R_19,Residency Road,Central,2025-07,13699,5287814,4.7,11242,7756,3486,54,18,High,Healthy,Corporate crowd and high delivery volume
R_20,Residency Road,Central,2025-08,13549,14633758,4.6,11708,8546,3162,35,22,High,Healthy,Corporate crowd and high delivery volume
R_21,Residency Road,Central,2025-09,13035,5409525,4.8,9607,7013,2594,50,25,High,Healthy,Corporate crowd and high delivery volume
R_22,Residency Road,Central,2025-10,14227,4936769,4.6,11047,7622,3425,62,21,High,Healthy,Corporate crowd and high delivery volume
R_23,Residency Road,Central,2025-11,14419,5277354,4.5,11992,8994,2998,75,21,High,Healthy,Corporate crowd and high delivery volume
R_24,Residency Road,Central,2025-12,15207,5596176,4.6,11273,8003,3270,54,22,High,Healthy,Corporate crowd and high delivery volume
M_01,Marathahalli,East ORR,2024-01,12447,4804542,4.4,10792,6367,4425,130,34,Medium,Stable,Strong sales but crowd-related delays
M_02,Marathahalli,East ORR,2024-02,7509,2793348,4.4,6340,3740,2600,129,29,Medium,Stable,Strong sales but crowd-related delays
M_03,Marathahalli,East ORR,2024-03,9693,3537945,4.4,7569,4465,3104,128,29,Medium,Stable,Strong sales but crowd-related delays
M_04,Marathahalli,East ORR,2024-04,10374,3527160,4.4,7491,4194,3297,92,27,Medium,Stable,Strong sales but crowd-related delays
M_05,Marathahalli,East ORR,2024-05,10370,3546540,4.4,8387,4948,3439,96,31,Medium,Stable,Strong sales but crowd-related delays
M_06,Marathahalli,East ORR,2024-06,10544,3753664,4.3,7998,4558,3440,89,28,Medium,Stable,Strong sales but crowd-related delays
M_07,Marathahalli,East ORR,2024-07,10004,4011604,4.1,8608,4992,3616,130,31,Medium,Stable,Strong sales but crowd-related delays
M_08,Marathahlli,East ORR,2024-08,7987,3019086,4.3,6608,4096,2512,107,33,Medium,Stable,Strong sales but crowd-related delays
M_09,Marathahlli,East ORR,2024-09,8173,2868723,4.2,6952,3893,3059,82,29,Medium,Stable,Strong sales but crowd-related delays
M_10,Marathahalli,East ORR,2024-10,8895,3166620,4.3,6595,4154,2441,109,29,Medium,Stable,Strong sales but crowd-related delays
M_11,Marathahalli,East ORR,2024-11,12505,5177070,4.2,9429,5280,4149,116,31,Medium,Stable,Strong sales but crowd-related delays
M_12,Marathahalli,East ORR,2024-12,12641,4664529,4.3,10223,5724,4499,113,32,Medium,Stable,Strong sales but crowd-related delays
M_13,Marathahalli,East ORR,2025-01,11479,4798222,4.4,8993,5395,3598,131,27,Medium,Stable,Strong sales but crowd-related delays
M_14,Marathahalli,East ORR,2025-02,8258,2882042,4.3,7170,4158,3012,96,31,Medium,Stable,Strong sales but crowd-related delays
M_15,Marathahalli,East ORR,2025-03,8853,3302169,4.3,7253,4279,2974,99,34,Medium,Stable,Strong sales but crowd-related delays
M_16,Marathahalli,East ORR,2025-04,8973,3248226,4.2,6644,3787,2857,122,29,Medium,Stable,Strong sales but crowd-related delays
M_17,Marathahalli,East ORR,2025-05,9642,3307206,4.2,7475,4335,3140,95,34,Medium,Stable,Strong sales but crowd-related delays
M_18,Marathahalli,East ORR,2025-06,10766,4306400,4.4,8082,4525,3557,106,31,Medium,Stable,Strong sales but crowd-related delays
M_19,Marathahalli,East ORR,2025-07,10974,4389600,4.3,7957,5092,2865,97,30,Medium,Stable,Strong sales but crowd-related delays
M_20,Marathahalli,East ORR,2025-08,10385,3998225,4.1,8082,5172,2910,120,30,Medium,Stable,Strong sales but crowd-related delays
M_21,Marathahalli,East ORR,2025-09,8601,3319986,4.2,7056,4515,2541,106,27,Medium,Stable,Strong sales but crowd-related delays
M_22,Marathahalli,East ORR,2025-10,11253,4107345,4.3,9665,5315,4350,122,33,Medium,Stable,Strong sales but crowd-related delays
M_23,Marathahalli,East ORR,2025-11,10988,3878764,4.3,8998,5578,3420,131,33,Medium,Stable,Strong sales but crowd-related delays
M_24,Marathahalli,East ORR,2025-12,11068,3829528,4.2,9185,5694,3491,124,28,Medium,Stable,Strong sales but crowd-related delays
S_01,Singasandra,Hosur Road,2024-01,9680,3649360,4.3,7794,4364,3430,126,30,Medium,Stable,Good parking and family demand
S_02,Singasandra,Hosur Road,2024-02,10586,4001508,4.1,8167,5226,2941,134,31,Medium,Stable,Good parking and family demand
S_03,Singasandra,Hosur Road,2024-03,8754,3081408,4.1,7134,3923,3211,123,27,Medium,Stable,Good parking and family demand
S_04,Singasandra,Hosur Road,2024-04,9103,3395419,4.2,7366,4124,3242,120,31,Medium,Stable,Good parking and family demand
S_05,Singasandra,Hosur Road,2024-05,10940,3774300,4.3,9451,5576,3875,121,27,Medium,Stable,Good parking and family demand
S_06,Singasandra,Hosur Road,2024-06,10891,4051452,4.3,7854,4712,3142,135,29,Medium,Stable,Good parking and family demand
S_07,Singasandra,Hosur Road,2024-07,9824,4067136,4.1,7211,4182,3029,134,34,Medium,Stable,Good parking and family demand
S_08,Singasandra,Hosur Road,2024-08,9897,3384774,4.2,7956,4853,3103,134,27,Medium,Stable,Good parking and family demand
S_09,Singasandra,Hosur Road,2024-09,8563,3468015,4.3,6954,4172,2782,103,33,Medium,Stable,Good parking and family demand
S_10,Singasandra,Hosur Road,2024-10,8710,3396900,4.4,7415,4078,3337,85,32,Medium,Stable,Good parking and family demand
S_11,Singasandra,Hosur Road,2024-11,8846,3396864,4.3,7458,4251,3207,87,28,Medium,Stable,Good parking and family demand
S_12,Singasandra,Hosur Road,2024-12,11353,4075727,4.4,8614,4996,3618,83,29,Medium,Stable,Good parking and family demand
S_13,Singasandra,Hosur Road,2025-01,9266,3484016,4.3,7421,4452,2969,93,34,Medium,Stable,Good parking and family demand
S_14,Singasandra,Hosur Road,2025-02,10392,3626808,4.3,8394,4700,3694,112,32,Medium,Stable,Good parking and family demand
S_15,Singasandra,Hosur Road,2025-03,9173,3705892,4.4,6808,3812,2996,92,34,Medium,Stable,Good parking and family demand
S_16,Singasandra,Hosur Road,2025-04,9876,3723252,4.3,7761,4811,2950,90,33,Medium,Stable,Good parking and family demand
S_17,Singasandra,Hosur Road,2025-05,8618,3593706,4.4,7491,4194,3297,139,30,Medium,Stable,Good parking and family demand
S_18,Singasandra,Hosur Road,2025-06,8660,3282140,4.2,7235,3979,3256,114,29,Medium,Stable,Good parking and family demand
S_19,Singasandra,Hosur Road,2025-07,9355,3302315,4.3,7932,4679,3253,90,27,Medium,Stable,Good parking and family demand
S_20,Singasandra,Hosur Road,2025-08,8814,3534414,4.1,6852,4385,2467,84,29,Medium,Stable,Good parking and family demand
S_21,Singasandra,Hosur Road,2025-09,9272,3504816,4.3,7734,4795,2939,97,34,Medium,Stable,Good parking and family demand
S_22,Singasandra,Hosur Road,2025-10,11899,4783398,4.2,9524,5809,3715,117,27,Medium,Stable,Good parking and family demand
S_23,Singasandra,Hosur Road,2025-11,11743,4896831,4.2,8580,4804,3776,126,33,Medium,Stable,Good parking and family demand
S_24,Singasandra,Hosur Road,2025-12,11098,4505788,4.3,9105,5463,3642,130,32,Medium,Stable,Good parking and family demand
SR_01,Sarjapur Road,East,2024-01,11616,4251456,4.1,9829,5405,4424,94,33,Medium,Stable,High IT corridor delivery demand
SR_02,Sarjapur Road,East,2024-02,10097,3756084,4.3,7324,4467,2857,116,29,Medium,Stable,High IT corridor delivery demand
SR_03,Sarjapur Road,East,2024-03,10145,3824665,4.3,8175,5232,2943,84,29,Medium,Stable,High IT corridor delivery demand
SR_04,Sarjapur Road,East,2024-04,8314,2943156,4.4,7046,4368,2678,103,30,Medium,Stable,High IT corridor delivery demand
SR_05,Sarjapur Road,East,2024-05,10832,3964512,4.2,8910,4989,3921,83,30,Medium,Stable,High IT corridor delivery demand
SR_06,Sarjapur Road,East,2024-06,10302,3698418,4.3,7716,4552,3164,105,29,Medium,Stable,High IT corridor delivery demand
SR_07,Sarjapur Road,East,2024-07,9365,3614890,4.2,7174,4376,2798,85,34,Medium,Stable,High IT corridor delivery demand
SR_08,Sarjapur Road,East,2024-08,7862,3136938,4.1,6406,3587,2819,92,34,Medium,Stable,High IT corridor delivery demand
SR_09,Sarjapur Road,East,2024-09,10551,3967176,4.3,8790,5449,3341,83,31,Medium,Stable,High IT corridor delivery demand
SR_10,Sarjapur Road,East,2024-10,12278,4788420,4.3,10286,6480,3806,110,28,Medium,Stable,High IT corridor delivery demand
SR_11,Sarjapur Road,East,2024-11,12497,4811345,4.4,9469,5207,4262,90,33,Medium,Stable,High IT corridor delivery demand
